ID,Product ID,Price,Discount,Stock,Is Active,Is Stock,Weight,Unit,All Types,Is Deal
2784,205,6750,0,0,FALSE,FALSE,,,,FALSE
2974,791,230,0,143,TRUE,FALSE,,,,FALSE
669,146,162,0,0,TRUE,FALSE,,,,FALSE
1089,19,2040,0,10,TRUE,TRUE,,,,FALSE
2612,130,2115,0,0,FALSE,TRUE,,,,FALSE
3137,783,855,0,0,TRUE,TRUE,,,,FALSE
2947,208,210,0,0,TRUE,TRUE,,,,FALSE
1411,783,794,0,0,TRUE,TRUE,,,,FALSE
479,96,41,0,0,TRUE,TRUE,,,,FALSE
1525,93,473,0,0,FALSE,TRUE,,,,FALSE
277,75,84,0,0,FALSE,TRUE,,,,FALSE
316,790,188,0,3,FALSE,TRUE,,,,FALSE
1842,781,4275,0,0,TRUE,TRUE,,,,FALSE
863,193,162,0,0,TRUE,TRUE,,,,FALSE
1738,323,188,0,0,FALSE,FALSE,,,,FALSE
1121,193,162,0,0,TRUE,TRUE,,,,FALSE
860,193,162,0,0,TRUE,TRUE,,,,FALSE
2791,326,2730,0,0,FALSE,FALSE,,,,FALSE
3161,46,5175,0,1,TRUE,FALSE,,,,FALSE
1526,93,480,5,0,FALSE,TRUE,,,,FALSE
2012,143,210,2,0,FALSE,TRUE,,,,FALSE
2639,441,2468,20,0,FALSE,FALSE,,,,FALSE
1463,839,443,15,49,TRUE,TRUE,,,,FALSE
3093,74,3240,0,0,FALSE,FALSE,,,,FALSE
1528,93,540,0,0,FALSE,TRUE,,,,FALSE
1529,93,417,0,0,FALSE,TRUE,,,,FALSE
3334,102,3398,0,0,FALSE,TRUE,,,,FALSE
1897,116,158,0,0,FALSE,TRUE,,,,FALSE
648,139,84,0,0,TRUE,FALSE,,,,FALSE
832,184,4680,0,0,TRUE,TRUE,,,,FALSE
2709,117,165,0,0,FALSE,TRUE,,,,FALSE
3167,444,669,0,0,FALSE,FALSE,,,,FALSE
345,51,99,0,0,FALSE,TRUE,,,,FALSE
1095,143,233,0,0,FALSE,TRUE,,,,FALSE
2826,416,195,40,0,TRUE,FALSE,,,,FALSE
1055,270,210,0,0,FALSE,TRUE,,,,FALSE
1758,93,563,0,0,FALSE,TRUE,,,,FALSE
910,237,161,0,0,FALSE,TRUE,,,,FALSE
2427,160,240,0,0,FALSE,TRUE,,,,FALSE
2827,416,195,40,0,TRUE,FALSE,,,,FALSE
341,51,99,0,0,FALSE,TRUE,,,,FALSE
1405,128,1140,0,0,TRUE,TRUE,,,,FALSE
1514,93,468,0,0,TRUE,TRUE,,,,FALSE
2710,117,165,0,0,FALSE,TRUE,,,,FALSE
3308,420,1512,20,0,FALSE,TRUE,,,,FALSE
1232,266,227,0,0,FALSE,TRUE,,,,FALSE
2679,263,285,0,0,FALSE,TRUE,,,,FALSE
2828,416,225,10,0,TRUE,FALSE,,,,FALSE
2690,234,4110,0,0,FALSE,FALSE,,,,FALSE
2251,367,851,0,0,FALSE,TRUE,,,,FALSE
