order_id,cancellation_reason_id,cancellation_reason
184432,59,"Shop Closed And Customer Not Responding"
184411,58,"Customer Does Not Have Cash"
184406,30,"Retailer's Location is Incorrect"
184404,55,"SKU's NA"
184388,30,"Retailer's Location is Incorrect"
184377,59,"Shop Closed And Customer Not Responding"
184366,59,"Shop Closed And Customer Not Responding"
184338,63," Actual rate is higher than what was communicated Other"
184337,58,"Customer Does Not Have Cash"
184332,59,"Shop Closed And Customer Not Responding"
184318,49,"Driver got late"
184318,30,"Retailer's Location is Incorrect"
184283,55,"SKU's NA"
184263,55,"SKU's NA"
184262,55,"SKU's NA"
184256,59,"Shop Closed And Customer Not Responding"
184255,58,"Customer Does Not Have Cash"
184241,29,"No Service Area"
184224,58,"Customer Does Not Have Cash"
184224,49,"Driver got late"
184213,53,"Late Delivery"
184210,53,"Late Delivery"
184208,53,"Late Delivery"
184204,29,"No Service Area"
184196,53,"Late Delivery"
184193,55,"SKU's NA"
184191,58,"Customer Does Not Have Cash"
184189,53,"Late Delivery"
184188,62,"Customer Claims That He Has Already Received The Same Before"
184184,58,"Customer Does Not Have Cash"
184153,59,"Shop Closed And Customer Not Responding"
184145,55,"SKU's NA"
184119,49,"Driver got late"
184119,58,"Customer Does Not Have Cash"
184113,53,"Late Delivery"
184106,28,"Incomplete Order"
184105,53,"Late Delivery"
184090,55,"SKU's NA"
184080,55,"SKU's NA"
184079,55,"SKU's NA"
184073,55,"SKU's NA"
184059,55,"SKU's NA"
184054,55,"SKU's NA"
184049,59,"Shop Closed And Customer Not Responding"
184047,53,"Late Delivery"
184042,49,"Driver got late"
184042,30,"Retailer's Location is Incorrect"
184040,55,"SKU's NA"
184038,57," Not Deliver by Driver Other"
184036,28,"Incomplete Order"
184033,55,"SKU's NA"
184025,57," Not Deliver by Driver Other"
184020,55,"SKU's NA"
184018,28,"Incomplete Order"
184015,55,"SKU's NA"
184004,55,"SKU's NA"
184002,55,"SKU's NA"
183996,57," Not Deliver by Driver Other"
183968,59,"Shop Closed And Customer Not Responding"
183967,55,"SKU's NA"
183959,55,"SKU's NA"
183940,29,"No Service Area"
183931,53,"Late Delivery"
183930,55,"SKU's NA"
183926,55,"SKU's NA"
183910,55,"SKU's NA"
183909,55,"SKU's NA"
183906,53,"Late Delivery"
183905,59,"Shop Closed And Customer Not Responding"
183902,53,"Late Delivery"
183900,58,"Customer Does Not Have Cash"
183892,28,"Incomplete Order"
183890,53,"Late Delivery"
183878,55,"SKU's NA"
183876,55,"SKU's NA"
183875,60,"Customer Has Already Purchased It From Somewhere Else"
183872,30,"Retailer's Location is Incorrect"
183867,55,"SKU's NA"
183850,53,"Late Delivery"
183847,58,"Customer Does Not Have Cash"
183842,53,"Late Delivery"
183841,53,"Late Delivery"
183839,55,"SKU's NA"
183836,59,"Shop Closed And Customer Not Responding"
183824,57," Not Deliver by Driver Other"
183818,58,"Customer Does Not Have Cash"
183817,55,"SKU's NA"
183803,55,"SKU's NA"
183790,55,"SKU's NA"
183785,53,"Late Delivery"
183782,53,"Late Delivery"
183781,60,"Customer Has Already Purchased It From Somewhere Else"
183780,59,"Shop Closed And Customer Not Responding"
183779,53,"Late Delivery"
183776,55,"SKU's NA"
183773,55,"SKU's NA"
183756,55,"SKU's NA"
183748,60,"Customer Has Already Purchased It From Somewhere Else"
183747,55,"SKU's NA"
183743,57," Not Deliver by Driver Other"
183730,55,"SKU's NA"
183728,55,"SKU's NA"
183706,30,"Retailer's Location is Incorrect"
183699,55,"SKU's NA"
183690,59,"Shop Closed And Customer Not Responding"
183662,55,"SKU's NA"
183657,59,"Shop Closed And Customer Not Responding"
183650,53,"Late Delivery"
183641,60,"Customer Has Already Purchased It From Somewhere Else"
183640,60,"Customer Has Already Purchased It From Somewhere Else"
183633,55,"SKU's NA"
183628,30,"Retailer's Location is Incorrect"
183609,49,"Driver got late"
183609,59,"Shop Closed And Customer Not Responding"
183607,53,"Late Delivery"
183604,30,"Retailer's Location is Incorrect"
183584,59,"Shop Closed And Customer Not Responding"
183579,53,"Late Delivery"
183576,59,"Shop Closed And Customer Not Responding"
183573,53,"Late Delivery"
183568,53,"Late Delivery"
183566,53,"Late Delivery"
183540,55,"SKU's NA"
183523,53,"Late Delivery"
183522,55,"SKU's NA"
183520,55,"SKU's NA"
183518,55,"SKU's NA"
183517,53,"Late Delivery"
183514,63," shop closed Other"
183506,55,"SKU's NA"
183502,53,"Late Delivery"
183469,57," Not Deliver by Driver Other"
183444,29,"No Service Area"
183439,60,"Customer Has Already Purchased It From Somewhere Else"
183436,53,"Late Delivery"
183432,58,"Customer Does Not Have Cash"
183429,57," Not Deliver by Driver Other"
183404,53,"Late Delivery"
183399,58,"Customer Does Not Have Cash"
183396,53,"Late Delivery"
183387,57," not deliver Other"
183378,53,"Late Delivery"
183373,55,"SKU's NA"
183371,63," tech team test Other"
183369,53,"Late Delivery"
183365,28,"Incomplete Order"
183364,58,"Customer Does Not Have Cash"
183362,53,"Late Delivery"
183332,60,"Customer Has Already Purchased It From Somewhere Else"
183330,49,"Driver got late"
183330,58,"Customer Does Not Have Cash"
183329,61,"Customer Claims That He Hasn't Placed The Order"
183322,53,"Late Delivery"
183312,59,"Shop Closed And Customer Not Responding"
183304,53,"Late Delivery"
183299,58,"Customer Does Not Have Cash"
183290,30,"Retailer's Location is Incorrect"
183278,53,"Late Delivery"
183247,58,"Customer Does Not Have Cash"
183243,61,"Customer Claims That He Hasn't Placed The Order"
183242,53,"Late Delivery"
183239,58,"Customer Does Not Have Cash"
